id,mild_injuries,serious_injuries,victims,vehicles_involved,longitude,latitude,date
2017S000169,2,0,2,2,2.140873,41.369155,2017-01-08 12:00:00
2017S002402,1,0,1,2,2.140873,41.369155,2017-03-25 04:00:00
2017S009079,1,0,1,2,2.1485090000000002,41.371519,2017-11-03 12:00:00
2017S000924,1,0,1,2,2.139566,41.367509999999996,2017-02-03 12:00:00
2017S001335,1,0,1,2,2.1394130000000002,41.367733,2017-02-17 16:00:00
2017S002394,1,0,1,1,2.137172,41.3631,2017-03-24 20:00:00
2017S009530,1,0,1,2,2.129084,41.379363,2017-11-16 21:00:00
2017S008317,1,0,1,2,2.129084,41.379363,2017-10-09 04:00:00
2017S010172,1,0,1,2,2.129084,41.379363,2017-12-05 19:00:00
2017S004760,1,0,1,2,2.132355,41.375574,2017-05-30 15:00:00
2017S003116,1,0,1,3,2.131193,41.3756,2017-04-04 16:00:00
2017S004414,0,0,0,2,2.126968,41.378221999999994,2017-05-18 16:00:00
2017S007527,2,0,2,2,2.130464,41.375494,2017-09-11 00:00:00
2017S005068,1,0,1,2,2.130464,41.375494,2017-06-09 16:00:00
2017S010690,1,0,1,1,2.130464,41.375494,2017-12-27 10:00:00
2017S000404,1,0,1,2,2.134692,41.375647,2017-01-16 09:00:00
2017S007304,0,1,1,1,2.132609,41.375458,2017-08-31 21:00:00
2017S005555,1,0,1,1,2.1320650000000003,41.367119,2017-06-15 11:00:00
2017S006188,1,0,1,1,2.134354,41.36959,2017-07-16 01:00:00
2017S004120,1,0,1,2,2.1263400000000003,41.373364,2017-05-09 15:00:00
2017S009305,0,0,0,1,2.13255,41.369046000000004,2017-11-10 11:00:00
2017S007437,1,0,1,2,2.131711,41.36975,2017-09-03 16:00:00
2017S007171,2,0,2,2,2.132916,41.368935,2017-08-25 16:00:00
2017S009582,0,1,1,1,2.126502,41.3755,2017-11-18 09:00:00
2017S002413,1,0,1,2,2.130007,41.372083,2017-03-25 17:00:00
2017S007079,1,0,1,1,2.12823,41.374245,2017-08-19 13:00:00
2017S003863,2,0,2,2,2.134649,41.364176,2017-05-02 08:00:00
2017S003498,0,0,0,2,2.134649,41.364176,2017-04-19 16:00:00
2017S004388,1,0,1,2,2.134649,41.364176,2017-05-17 16:00:00
2017S001781,5,0,5,2,2.134275,41.37962,2017-03-04 08:00:00
2017S009511,3,0,3,2,2.134256,41.381349,2017-11-16 16:00:00
2017S009298,0,1,1,1,2.141501,41.381378000000005,2017-11-10 09:00:00
2017S008773,1,0,1,2,2.141514,41.384778999999995,2017-10-23 18:00:00
2017S003501,1,0,1,2,2.134704,41.38044,2017-04-19 16:00:00
2017S005326,1,0,1,1,2.135487,41.381771,2017-06-22 17:00:00
2017S007712,1,0,1,2,2.142388,41.379738,2017-09-18 09:00:00
2017S009903,1,0,1,1,2.138338,41.385169,2017-11-27 18:00:00
2017S007692,1,1,2,1,2.139694,41.379656,2017-09-17 06:00:00
2017S005624,1,0,1,1,2.140858,41.380611,2017-06-28 10:00:00
2017S008223,1,0,1,2,2.1403529999999997,41.383942,2017-10-05 15:00:00
2017S001307,2,0,2,2,2.132557,41.371486,2017-02-16 18:00:00
2017S005162,2,0,2,2,2.133899,41.374411,2017-06-13 07:00:00
2017S004764,1,0,1,2,2.1232290000000003,41.379164,2017-05-30 23:00:00
2017S000160,2,0,2,2,2.1323779999999997,41.389152,2017-01-07 19:00:00
2017S005548,1,0,1,2,2.128066,41.386681,2017-06-26 10:00:00
2017S005446,1,0,1,2,2.124715,41.376876,2017-06-21 18:00:00
2017S003631,4,0,4,3,2.12792,41.387971,2017-04-23 18:00:00
2017S003329,1,0,1,2,2.12668,41.388614000000004,2017-04-12 08:00:00
2017S000544,1,0,1,2,2.130254,41.385236,2017-01-20 16:00:00
2017S001384,0,0,0,1,2.128211,41.388399,2017-02-19 06:00:00
2017S008018,2,0,2,1,2.125836,41.377738,2017-09-28 20:00:00
2017S000379,1,0,1,2,2.125213,41.377364,2017-01-14 20:00:00
2017S003275,0,0,0,1,2.114432,41.381256,2017-04-10 02:00:00
2017S004869,1,0,1,2,2.135191,41.386879,2017-06-02 17:00:00
2017S000130,1,0,1,2,2.131757,41.392313,2017-01-06 06:00:00
2017S002323,2,0,2,2,2.138825,41.391215,2017-03-23 08:00:00
2017S000687,1,0,1,3,2.137166,41.385008,2017-01-26 11:00:00
2017S001322,1,0,1,2,2.136782,41.385579,2017-02-17 09:00:00
2017S002080,1,0,1,1,2.131032,41.390884,2017-03-15 08:00:00
2017S001712,1,0,1,2,2.126834,41.388627,2017-03-02 09:00:00
2017S004832,1,0,1,1,2.139073,41.385956,2017-06-01 20:00:00
